"Title"|"MovieID"|"avg_rating"|"num_ratings"|"genre"|"rank"
"Saving Private Ryan (1998)"|2028|4.33735393893705|2653|"Animation"|1
"Silence of the Lambs, The (1991)"|593|4.35182311869666|2578|"Animation"|2
"Toy Story (1995)"|1|4.14684641309581|2077|"Animation"|3
"Monty Python and the Holy Grail (1974)"|1136|4.33520950594121|1599|"Animation"|4
"Batman (1989)"|592|3.60097833682739|1431|"Animation"|5
"Star Wars: Episode IV - A New Hope (1977)"|260|4.45369441658308|2991|"Children's"|1
"Saving Private Ryan (1998)"|2028|4.33735393893705|2653|"Children's"|2
"Silence of the Lambs, The (1991)"|593|4.35182311869666|2578|"Children's"|3
"Toy Story (1995)"|1|4.14684641309581|2077|"Children's"|4
"Babe (1995)"|34|3.89149057681325|1751|"Children's"|5
"American Beauty (1999)"|2858|4.31738623103851|3428|"Comedy"|1
"Men in Black (1997)"|1580|3.73995271867612|2538|"Comedy"|2
"Raiders of the Lost Ark (1981)"|1198|4.47772474144789|2514|"Comedy"|3
"Star Wars: Episode I - The Phantom Menace (1999)"|2628|3.40977777777778|2250|"Comedy"|4
"Godfather, The (1972)"|858|4.52496626180837|2223|"Comedy"|5
"Terminator 2: Judgment Day (1991)"|589|4.05851264628162|2649|"Adventure"|1
"Raiders of the Lost Ark (1981)"|1198|4.47772474144789|2514|"Adventure"|2
"Terminator, The (1984)"|1240|4.15204957102002|2098|"Adventure"|3
"One Flew Over the Cuckoo's Nest (1975)"|1193|4.39072463768116|1725|"Adventure"|4
"Die Hard (1988)"|1036|4.1218487394958|1666|"Adventure"|5
"Mission: Impossible (1996)"|648|3.43287491814014|1527|"Fantasy"|1
"Christmas Story, A (1983)"|2804|4.23890532544379|1352|"Fantasy"|2
"Animal House (1978)"|3421|4.05302402651201|1207|"Fantasy"|3
"Lion King, The (1994)"|364|3.86083853702052|1121|"Fantasy"|4
"Tron (1982)"|2105|3.35567010309278|970|"Fantasy"|5
